Job Title,Keywords,Skills
Community Health Nurse,"Public health nursing, Health promotion, Immunization clinics, Community outreach, Chronic disease management, RN certification, Patient education, Health assessment, Infection control","Health promotion, Cultural competency, Health assessment, Community engagement, Collaboration, Ethical practice, Public health surveillance"
Physician (Medical Officer),"Medical license, Clinical assessment, Regulatory affairs, Drug safety, Health product review, Evidence-based practice, Public health policy, Medical surveillance, Case consultation","Clinical expertise, Epidemiological analysis, Policy development, Leadership, Communication, Ethical decision-making"
Laboratory Technician / Biologist / Chemist,"Laboratory analysis, Sample processing, SOPs, GLP, PCR, Spectrometry, Chromatography, QA/QC, Data interpretation, Scientific research, Technical reporting","Lab techniques, QA/QC, Data analysis, Safety protocols, Technical reporting"
Epidemiologist / Biostatistician,"Epidemiological surveillance, Statistical modeling, Public health data, Disease outbreak investigation, SAS, R, STATA, Python, Risk assessment, Literature review, Data visualization","Statistical analysis, Research design, Data interpretation, Communication, Attention to detail, Data Visualization"
Regulatory Affairs Officer,"Regulatory compliance, Policy development, Health product regulation, Risk management, Scientific evaluation, Health Canada submission, Regulatory framework, Clinical trial protocol","Regulatory knowledge, Analytical thinking, Problem-solving, Detail orientation, Regulatory communication"
Compliance and Enforcement Officer,"Regulatory enforcement, Site inspection, Evidence collection, Non-compliance investigation, Federal Acts and Regulations, Documentation review, Legal compliance, Health and safety audits","Regulatory enforcement, Investigative skills, Decision-making, Documentation, Teamwork"
Policy Analyst,"Policy development, Stakeholder engagement, Regulatory analysis, Evidence-based policy, Socioeconomic impact, Briefing notes, Government decision-making, Data-driven recommendations","Policy formulation, Research, Analytical thinking, Strategic communication, Critical thinking"
Program Officer / Manager,"Program planning, Performance measurement, Strategic initiatives, Budget management, Outcome evaluation, Federal project coordination, Grants and contributions, Risk mitigation","Program design, Budget oversight, Impact evaluation, Strategic planning, Stakeholder collaboration"
IT Analyst / Technician,"Systems analysis, IT support, Network administration, Cybersecurity, Software implementation, Database management, Troubleshooting, Service desk, Cloud services","System diagnostics, IT project management, Tech communication, Network security, Software troubleshooting"
Financial Analyst / Manager,"Financial forecasting, Budget reconciliation, Expenditure tracking, Cost-benefit analysis, Public sector accounting, SAP, Oracle, GCIMS, Internal audit, Treasury Board policies","Financial modeling, Budget control, Forecasting, Compliance, Financial reporting"
HR Advisor / Manager,"Staffing and recruitment, Labour relations, Performance management, Classification and compensation, Public Service Commission, Employment equity, HRIS systems, Workforce planning","Recruitment, Employee relations, HR policies, Training and development, Legal compliance"
